0,0
1,4
2,1
3,1
4,2
5,0
6,4
7,3
8,4
9,3
10,3
11,4
12,4
13,0
14,3
15,4
16,4
17,3
18,0
19,4
20,0
21,4
22,3
23,5
24,0
25,5
26,4
27,0
28,0
29,0
30,0
31,4
32,2
33,0
34,1
35,0
36,3
37,10
38,0
39,2
40,1
41,0
42,4
43,3
44,0
45,4
46,0
47,4
48,4
49,2
50,0
51,0
52,10
53,0
54,3
55,2
56,4
57,3
58,1
59,0
60,0
61,4
62,0
63,4
64,4
65,5
66,3
67,0
68,0
69,5
70,4
71,0
72,3
73,0
74,4
75,4
76,1
77,4
78,0
79,0
80,10
81,0
82,0
83,1
84,0
85,3
86,4
87,4
88,4
89,6
90,0
91,0
92,4
93,0
94,3
95,4
96,2
97,10
98,0
99,0
100,0
101,4
102,0
103,2
104,4
105,0
106,3
107,3
108,3
109,0
110,0
111,0
112,5
113,3
114,4
115,4
116,0
117,0
118,0
119,1
120,2
121,3
122,4
123,0
124,0
125,2
126,4
127,0
128,4
129,10
130,0
131,4
132,0
133,4
134,0
135,0
136,4
137,4
138,3
139,1
140,10
141,0
142,3
143,0
144,0
145,4
146,1
147,4
148,4
149,0
150,5
151,0
152,0
153,0
154,4
155,4
156,2
157,3
158,0
159,0
160,4
161,2
162,0
163,0
164,0
165,4
166,2
167,0
168,3
169,0
170,4
171,4
172,10
173,0
174,0
175,4
176,7
177,1
178,5
179,0
180,3
181,0
182,2
183,4
184,4
185,0
186,0
187,1
188,4
189,0
190,3
191,10
192,0
193,0
194,3
195,4
196,0
197,2
198,0
199,4
200,3
201,0
202,2
203,2
204,0
205,2
206,4
207,4
208,0
209,10
210,4
211,5
212,4
213,2
214,1
215,4
216,0
217,3
218,3
219,3
220,0
221,10
222,6
223,4
224,0
225,5
226,4
227,3
228,4
229,0
230,2
231,0
232,4
233,3
234,0
235,0
236,3
237,7
238,4
239,3
240,10
241,0
242,0
243,0
244,4
245,4
246,3
247,4
248,0
249,0
250,3
251,4
252,3
253,3
254,2
255,0
256,0
257,0
258,5
259,1
260,4
261,5
262,2
263,4
264,0
265,0
266,4
267,0
268,1
269,0
270,0
271,0
272,4
273,4
274,0
275,0
276,3
277,4
278,4
279,2
280,3
281,4
282,3
283,2
284,4
285,0
286,0
287,10
288,4
289,10
290,4
291,4
292,4
293,3
294,0
295,3
296,2
297,0
298,10
299,0
600,4
601,3
602,4
603,0
604,0
605,0
606,4
607,0
608,4
609,4
610,0
611,1
612,0
613,1
614,4
615,10
616,0
617,0
618,4
619,4
620,1
621,4
622,0
623,4
624,4
625,1
626,0
627,0
628,0
629,3
630,3
631,0
632,0
633,6
634,0
635,0
636,0
637,2
638,6
639,0
640,0
641,0
642,0
643,0
644,3
645,0
646,0
647,2
648,0
649,0
650,0
651,4
652,2
653,0
654,3
655,4
656,0
657,4
658,4
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,4
667,0
668,0
669,3
670,0
671,4
672,4
673,4
674,4
675,8
676,4
677,8
678,3
679,0
681,0
682,9
683,4
684,8
685,4
686,4
687,4
688,0
689,9
690,4
691,4
692,9
693,4
694,7
695,4
696,6
697,0
698,0
699,4
